"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","label"
34774.6641,14948.9482,62.1258,42.6065,9.9488,5.4144,15.0478,9.8116,8.3456,12.1850,10.6821,7.7389,4.0414,9.6850,11.7331,8.4431,11.1619,10.2740,8.1073,2.9668,4.2000,10.9829,14.0172,12.2429,8.8337,11.6711,10.3029,2.6853,3.0554,6.3103,9.7360,4.6970,3.3168,3.7009,3.9778,9.1815,8.7198,11.5902,15.5940,8.1139,4.5429,10.5491,6.0183,7.1874,3.0086,6.9522,7.3095,7.1481,3.9203,3.8753,3.6679,5.6066,6.1016,9.0423,1.5333,0.2194,3.5458,1.5132,4.8160,9.7910,5.2931,1.1906,3.1674,0.4770,"nope"
34809.5664,14984.8838,84.7197,19.2472,16.7805,12.8214,9.1325,21.7320,17.5445,20.6182,9.2632,7.0818,4.1387,10.8187,19.6060,11.4438,1.5205,9.6236,5.8556,4.9548,5.2983,3.7981,7.7483,14.5235,16.6357,12.3864,10.4453,0.2916,7.0181,5.8663,1.5647,3.0657,9.8808,6.6125,3.4400,0.8085,11.7272,9.1267,10.4646,7.9971,1.0704,6.5910,3.9416,10.3969,5.3319,8.6338,3.8795,7.3406,5.6517,3.7073,5.4168,5.4479,6.5292,7.8832,7.7475,5.9857,3.6573,2.0317,5.2572,5.5565,2.0395,3.4672,4.8846,4.9740,"nope"
34819.4531,14992.5049,89.6433,32.6037,8.3328,17.6473,20.5626,22.4796,9.7591,16.5880,16.4649,13.4877,8.5033,13.7012,13.3508,4.9065,4.3373,6.6695,11.3721,13.5125,7.2088,10.4270,7.9450,2.0859,5.7960,7.5611,8.0859,6.5921,5.3519,6.8571,7.2796,7.8626,8.7010,10.7581,8.4861,3.5739,1.5924,5.8339,3.3279,4.0795,2.3699,1.5573,4.5624,3.1740,7.8920,4.9657,1.4400,7.8142,5.5180,2.9388,1.8365,5.5139,6.7261,6.2537,6.5437,7.6957,9.4500,5.3416,3.2544,5.2481,2.8578,4.4807,4.7612,3.9732,"nope"
34830.4961,14997.0908,60.2383,51.4425,6.3865,44.1537,24.8743,23.1049,11.6013,4.2589,9.0316,8.7598,6.7706,4.2748,3.7225,11.0324,7.3023,8.4362,9.7308,9.9223,4.0137,5.0595,8.6847,6.4433,9.3540,6.2570,7.7646,7.5494,15.0128,9.1107,6.0741,11.5093,6.4995,7.6842,7.1354,15.9677,13.3533,7.6325,8.5291,4.4567,3.5304,4.3133,5.5317,2.1746,2.8495,9.9285,12.4469,8.1604,8.5281,6.5220,8.5982,6.2948,6.2098,4.4134,5.7446,5.4316,3.9336,2.4868,4.9595,3.5731,3.9255,6.4203,11.1876,12.9167,"nope"
34801.7500,14988.6719,85.8742,33.5890,10.1076,22.6850,11.7233,8.7622,10.9625,8.6473,18.8856,14.6476,5.2148,6.8882,10.7611,8.7977,10.8912,18.7852,18.6242,7.8897,4.9361,5.3819,9.9290,6.8265,4.1583,4.1984,2.9056,8.5637,3.5831,1.5668,4.3113,12.9567,14.7840,9.2552,8.5153,8.4925,6.7670,6.2322,8.2108,10.2355,5.7949,5.2982,2.0814,4.3715,6.1505,3.0215,4.5639,4.6303,11.1876,9.4468,2.3355,9.2029,12.3704,5.6820,1.3653,7.1370,3.5186,0.9771,7.3835,13.3071,12.2740,10.7945,6.7638,7.6286,"nope"
34793.7617,14956.0898,59.5634,25.6068,40.9238,7.5712,22.2003,13.9759,4.2412,19.7100,12.6286,4.1302,5.3588,11.4211,4.1588,8.6112,13.6178,10.1511,4.3469,10.7417,12.8013,5.6907,10.5029,6.6719,3.5833,11.0570,17.4457,7.5374,6.1223,11.1037,13.7389,7.4226,3.0155,4.1155,4.6592,5.3088,5.8920,7.4484,7.2560,4.1435,4.1785,8.5859,12.4912,11.9137,3.6526,8.7461,8.0558,8.4187,6.8847,2.7632,6.7492,10.8658,10.7864,7.1186,4.2596,6.7314,6.8914,5.6361,8.6375,7.2961,11.8090,9.1983,6.2877,6.8473,"nope"
34822.8125,14980.7305,85.3297,8.8690,63.5537,34.8979,25.0045,1.6226,11.9753,6.1416,3.1270,7.2348,13.8315,21.0889,12.0374,13.7612,13.3257,8.9450,7.9066,3.2021,8.8032,10.9225,14.6959,4.6532,2.3345,11.7954,11.3311,5.8076,8.1193,12.8078,7.0271,5.3780,6.7186,6.7033,1.7466,4.1233,9.4013,5.4416,3.4328,11.3535,13.5851,18.9529,12.1162,8.2141,5.7941,0.8627,5.5584,6.4847,5.5825,8.2913,5.5393,1.8820,7.0978,7.6076,6.7659,12.4449,6.4059,8.1165,2.2820,8.3746,13.0726,10.5117,5.3640,10.3326,"nope"
34778.1211,14958.8926,80.4853,20.4309,20.1849,9.9691,10.7606,17.4240,10.0338,10.1252,17.4800,16.7234,12.8214,12.2020,16.8660,13.8293,11.0931,6.1393,4.9202,4.0037,8.9671,4.6788,5.9988,13.0308,14.4734,17.2573,9.9946,2.4902,6.1190,4.1635,8.3952,5.5833,5.7060,1.3231,2.3523,7.5316,2.6766,1.8279,7.0037,9.2077,2.4752,11.6021,7.8372,9.2820,11.8031,9.6282,11.5424,7.9295,3.5927,2.0902,5.0173,0.8027,7.1749,13.7904,16.5867,12.2722,9.6642,8.0074,5.1899,3.2714,6.0768,7.8852,8.7030,4.5842,"nope"
34821.9766,14972.2188,59.5140,26.0803,61.3891,17.0936,14.5018,7.2106,13.4710,5.9655,7.7999,13.7079,8.3059,3.0584,5.6180,9.3957,12.0462,15.6636,7.1724,6.6138,11.4192,3.5191,5.1995,2.4166,1.0751,5.7333,5.5607,5.0931,4.5832,3.4419,2.0373,10.1942,5.0511,6.5643,10.6221,5.1294,3.5219,3.0705,5.0504,8.3688,3.2776,5.1500,6.3821,6.9348,4.3903,1.4814,5.7779,4.8568,6.6571,7.4480,1.6259,6.1676,11.0229,10.7786,0.1421,1.1585,9.6490,4.3635,9.5850,10.3584,7.5345,9.9196,12.5184,9.1744,"nope"
34754.1055,14942.4951,62.3002,38.2828,11.7940,10.8577,12.9733,14.7645,10.3162,12.6502,10.0444,11.0687,10.5044,6.7634,4.6163,8.2649,7.7150,3.5816,11.1553,3.9752,1.4614,9.2842,16.9034,14.6508,6.8644,5.8704,3.8540,4.8957,8.4905,8.8734,8.8687,10.1303,2.8543,4.4364,10.5282,8.5152,4.9277,3.4284,3.4514,5.3775,7.2640,12.2839,4.9777,2.9018,0.2850,3.8194,2.4972,6.8134,5.1309,5.7357,9.0256,5.6024,2.5190,2.1515,2.0259,2.2016,5.5490,6.0243,1.5603,6.7770,10.6382,8.8177,5.6049,5.7862,"nope"
