"f1","f2","f3","f4","label"
26.75,14.98,0.75,189.03,"nope"
30.29,18.22,0.53,288.80,"nope"
15.13,19.84,0.87,100.00,"nope"
11.63,19.16,0.64,78.19,"nope"
40.46,14.96,0.90,236.12,"nope"
40.29,16.55,0.14,239.49,"nope"
15.39,18.61,0.71,149.50,"nope"
18.32,16.24,1.40,145.04,"nope"
30.40,16.00,1.17,336.50,"nope"
24.06,17.30,1.20,185.85,"nope"
29.82,18.76,1.96,212.50,"nope"
36.86,15.71,2.15,524.90,"nope"
26.01,12.73,0.12,392.70,"nope"
31.84,18.38,2.81,180.44,"nope"
25.57,19.27,0.38,221.54,"nope"
13.03,18.16,0.47,202.32,"nope"
23.52,15.81,1.21,159.28,"nope"
27.96,14.34,0.13,277.05,"nope"
10.19,22.72,1.21,80.53,"nope"
16.74,23.29,1.10,121.18,"nope"
14.99,22.12,1.14,139.59,"nope"
14.77,20.90,0.79,60.96,"nope"
28.57,17.24,0.45,254.81,"nope"
25.28,19.54,1.89,222.31,"nope"
33.89,19.93,2.26,205.30,"nope"
18.23,20.82,0.57,89.68,"nope"
31.92,20.87,3.08,440.72,"nope"
22.75,18.48,2.63,139.70,"nope"
14.43,21.46,1.26,82.12,"nope"
20.60,16.46,0.55,181.95,"nope"
20.92,17.58,1.08,137.94,"nope"
17.88,17.04,1.14,172.97,"nope"
15.07,19.48,1.84,182.40,"nope"
27.71,16.88,1.31,258.43,"nope"
31.96,24.11,1.89,188.85,"nope"
26.96,20.91,3.20,134.33,"nope"
15.15,19.27,1.37,128.13,"nope"
16.41,17.86,1.90,137.47,"nope"
30.73,24.06,3.21,232.49,"nope"
27.90,19.23,1.33,155.78,"nope"
11.90,22.34,1.29,109.61,"nope"
9.08,22.11,0.09,64.21,"nope"
15.49,17.10,1.09,142.71,"nope"
22.00,16.91,0.58,146.15,"nope"
24.12,21.25,2.74,158.74,"nope"
15.74,19.25,0.66,103.12,"nope"
21.54,15.30,0.98,163.66,"nope"
20.79,17.40,1.12,154.07,"nope"
23.79,16.82,0.20,233.79,"nope"
16.81,15.08,0.61,142.28,"nope"
14.11,18.04,0.71,164.67,"nope"
41.15,15.44,0.68,385.53,"nope"
30.13,18.80,0.69,186.48,"nope"
31.50,16.04,1.03,273.57,"nope"
27.53,14.26,1.16,229.44,"nope"
20.62,13.98,1.05,338.88,"nope"
24.34,15.96,0.83,259.01,"nope"
14.32,17.03,1.89,147.11,"nope"
36.72,19.85,0.95,208.12,"nope"
29.96,20.12,0.16,234.41,"nope"
30.52,18.81,1.59,223.73,"nope"
8.66,24.58,0.53,42.59,"nope"
21.59,18.81,1.55,169.15,"nope"
33.92,20.10,2.22,469.91,"nope"
27.37,20.08,2.74,207.89,"nope"
17.97,19.04,0.61,130.26,"nope"
15.28,24.30,0.70,123.01,"nope"
22.27,26.17,3.87,118.62,"nope"
20.91,25.31,0.43,88.72,"nope"
21.03,18.67,0.90,180.10,"nope"
20.82,21.84,3.09,121.17,"nope"
13.75,18.65,1.08,98.18,"nope"
36.86,20.81,1.48,268.83,"nope"
18.34,18.99,0.37,128.22,"nope"
8.98,21.78,0.77,57.56,"nope"
18.42,16.54,0.84,184.23,"nope"
17.20,16.13,2.07,217.23,"nope"
26.52,17.12,1.82,246.29,"nope"
36.32,14.06,1.30,657.80,"nope"
19.75,15.19,1.80,181.97,"nope"
21.03,15.17,0.90,354.68,"nope"
19.10,13.96,0.12,280.24,"nope"
17.85,15.55,0.37,240.21,"nope"
31.31,12.24,0.44,381.07,"nope"
25.83,13.49,0.57,372.13,"nope"
19.09,17.19,1.08,146.79,"nope"
28.60,14.23,0.43,244.44,"nope"
31.02,16.58,0.71,214.53,"nope"
52.45,10.74,2.16,935.89,"nope"
14.36,16.88,1.09,203.42,"nope"
12.64,19.96,1.16,96.01,"nope"
24.73,17.69,1.08,210.84,"nope"
14.30,16.96,0.40,163.12,"nope"
15.73,17.10,0.46,187.48,"nope"
18.93,15.83,1.20,352.28,"nope"
18.06,15.47,0.83,172.53,"nope"
19.15,16.04,0.51,151.70,"nope"
24.34,17.83,1.99,219.29,"nope"
32.61,16.92,2.64,194.05,"nope"
35.95,14.18,0.89,442.18,"nope"
39.45,18.08,2.29,348.41,"nope"
20.86,14.29,1.19,227.21,"nope"
32.35,10.23,0.69,482.28,"nope"
24.12,14.19,0.80,369.01,"nope"
23.38,12.61,0.89,267.90,"nope"
30.97,13.52,1.49,235.02,"nope"
25.20,15.16,2.23,303.56,"nope"
36.92,15.03,1.14,389.10,"nope"
35.96,14.10,1.82,440.60,"nope"
23.80,15.64,1.07,190.82,"nope"
27.09,14.22,0.90,184.32,"nope"
22.76,18.81,1.31,113.57,"nope"
24.91,13.94,0.47,259.06,"nope"
51.34,10.68,1.44,819.74,"nope"
20.97,13.41,0.87,428.11,"nope"
44.67,10.14,0.63,920.29,"nope"
52.39,10.51,0.48,647.39,"nope"
27.36,12.62,1.25,402.84,"nope"
12.25,20.29,0.28,91.89,"nope"
9.61,18.75,0.60,118.90,"nope"
14.02,18.25,0.78,154.04,"nope"
