"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","label"
34778.8841,14984.7335,108.4440,20.0603,25.8847,93.0910,37.8227,22.2374,16.7601,12.7205,12.5173,19.3170,11.4534,4.5114,10.4567,13.2445,13.1382,9.1758,7.1040,14.3080,7.4336,7.5478,5.9375,2.2971,2.6263,8.0167,9.2846,3.8071,5.7945,3.0412,0.6811,8.0112,11.8169,8.7274,9.8585,7.3906,1.8880,3.2766,7.8848,9.1625,5.4076,1.9752,5.6127,6.9834,6.1199,7.1426,5.0907,0.9637,7.4838,6.4577,4.8529,5.1921,1.0747,4.6380,5.5274,5.2920,3.9091,10.8655,6.2572,4.1020,8.3286,9.4112,4.7796,7.4348,"nope"
34831.2091,14991.7566,86.1559,22.1645,24.3998,53.4486,16.1616,17.7068,6.2325,5.6930,8.6609,5.6824,2.8594,16.6921,10.4599,2.5690,9.7718,11.4432,8.4430,4.7362,3.9018,13.1736,15.3336,11.9017,4.0865,3.4855,4.6898,10.7981,2.8408,7.0800,3.0838,1.7498,5.1606,1.6554,2.0123,3.6827,4.3158,5.1709,5.0092,1.2878,5.4170,6.2171,5.7849,5.3038,6.3560,2.1850,10.7638,15.3571,13.4260,7.0703,5.8971,3.9163,5.8373,6.3189,4.6602,6.3793,3.5860,5.7604,2.9146,9.4063,7.0908,6.7305,8.1452,6.3001,"nope"
34798.7111,14980.4904,101.8791,30.2638,41.7799,11.7536,7.7569,12.0434,4.6033,10.6709,9.2515,11.1816,15.3915,2.6219,6.1788,7.3645,8.9130,4.9685,12.0361,16.8968,7.9880,10.1279,5.6588,2.9501,3.4127,4.8238,2.1341,1.8090,5.9928,4.2371,3.6990,4.9638,9.3984,5.3330,8.5200,7.3063,4.8058,2.4799,5.7734,9.6944,12.9842,12.4606,11.4531,10.2072,5.9559,4.6395,3.4253,10.3661,8.0728,4.1450,8.2231,4.6943,7.3806,7.0883,5.3253,5.2357,3.3879,1.0889,2.1805,4.6987,4.6254,7.0392,9.7400,1.2672,"nope"
34799.8290,14988.7131,106.7368,39.8906,51.8661,9.0208,12.8023,10.4594,13.4515,15.8280,8.3998,5.4379,2.8873,10.6863,2.9071,5.8920,6.0115,2.8394,8.4510,9.4377,7.0864,7.7158,11.7024,6.6499,10.9545,7.6547,13.6724,9.9993,10.4166,7.1366,5.8012,5.7421,9.4682,5.9260,3.7353,4.5984,5.9823,5.6288,6.5886,8.6548,4.4587,4.7402,7.6851,7.2758,3.4032,2.2356,1.6854,4.4955,9.8508,7.6525,5.3539,10.3212,2.3444,4.7916,6.9809,7.3576,5.5532,4.4507,2.8523,10.5796,12.3746,9.4831,10.3633,5.9377,"nope"
34794.1993,14965.7012,69.8349,35.7841,4.3850,45.2993,22.3544,18.1990,14.4100,11.1787,7.1270,11.0205,16.1588,26.9189,15.7091,9.9851,15.7388,11.1672,20.1944,6.9409,5.5264,7.5109,2.9816,12.5810,10.8442,8.9818,8.1053,2.9726,11.5892,6.3107,7.4344,11.4649,9.0882,8.7594,11.8267,11.1847,2.8783,2.1051,3.6534,11.0202,8.9075,7.5396,9.6462,3.1964,6.7038,5.5336,6.2198,7.3641,2.5945,2.6737,4.3817,7.9203,10.2379,13.6073,11.7056,4.4057,8.8218,4.5134,6.2414,2.3415,5.5448,3.4152,5.5001,7.7091,"nope"
34794.2774,14988.6051,90.6684,39.9774,9.6214,15.2181,8.4320,10.4903,21.8443,11.2938,2.6147,10.7394,8.2550,5.5521,9.2575,4.1985,8.3086,13.5660,4.4914,7.6450,3.8018,4.5421,6.6058,4.8131,1.3141,8.4393,8.1658,9.5710,12.1675,8.9520,8.1206,4.7213,6.5324,9.4215,7.7783,2.2994,3.2085,6.6500,6.1021,1.8085,3.5848,4.2426,7.5727,4.5715,2.8187,7.7135,7.9736,8.4547,3.8860,3.6254,2.8302,5.9323,7.2591,3.8247,1.1866,6.0246,5.8304,8.1999,6.4981,3.9982,1.7026,5.6541,9.8033,7.6161,"nope"
34792.5012,14974.9892,88.0324,19.4540,22.2169,7.5407,24.3225,11.6353,11.4435,13.2487,21.2388,7.6475,5.9057,12.6159,12.8272,7.4290,8.0972,9.1472,4.2951,5.9670,16.6660,13.1380,5.8955,15.9844,10.7108,3.1976,7.7134,6.3312,6.8199,10.7403,9.1058,8.1970,9.4055,6.1566,3.4695,3.4599,8.1609,12.3885,15.8952,5.8531,9.2359,13.2643,8.8955,1.3605,7.0614,7.6925,6.1484,9.0293,3.9123,7.4996,7.3565,5.6193,0.6630,5.2221,5.0283,0.7911,4.2360,8.2877,5.7282,0.1805,4.9062,5.1481,2.0926,4.2583,"nope"
34806.7695,14980.5865,84.4709,45.5275,40.9441,28.3199,9.1774,25.0440,13.6941,17.5486,8.5461,8.1075,2.6304,9.2084,9.0505,17.2865,14.6005,7.7289,3.4105,2.0211,2.2651,2.2173,2.9968,6.2133,7.4936,6.3516,3.2906,5.5831,9.5510,17.1837,20.8013,5.7507,2.7837,7.0592,10.5594,6.7026,7.4507,13.6645,12.2112,7.8945,6.3039,1.0030,7.8929,6.0558,9.8757,6.9404,1.6661,3.6355,2.7203,3.9749,2.5746,5.3077,4.8211,2.3054,5.4382,2.2313,3.7999,1.2096,4.0855,5.7346,11.8802,10.8927,2.1774,8.5521,"nope"
34837.7172,15031.6010,132.8417,24.9097,19.0831,19.4235,20.7855,3.1892,11.2709,12.6550,10.9052,15.5080,12.3695,13.3271,8.6922,12.5379,16.4951,5.9845,1.7217,2.2550,7.1764,13.6245,1.7618,3.0813,9.0991,8.7144,1.3953,15.1182,16.5023,5.5682,2.8417,3.8796,2.1767,10.6419,8.7934,1.3027,5.9977,7.7839,6.5076,5.7393,7.5135,9.8515,10.9976,2.9408,6.6497,1.5795,4.2353,6.6589,9.1721,7.6605,6.2003,3.1530,6.3813,0.5763,8.6662,2.6191,9.1554,3.4583,4.7392,4.8231,4.9831,4.5765,3.9202,2.2919,"nope"
34816.6581,14994.9754,82.7807,25.3236,36.4080,29.5731,35.7085,11.8115,8.2353,9.3067,7.2013,2.1978,8.4348,6.6334,9.3916,10.8824,1.9143,11.0115,13.4479,7.9974,5.9977,11.8308,12.6477,2.7019,6.7995,12.1796,10.3660,4.1331,7.5479,7.2213,8.4858,6.9542,4.8377,0.3322,5.7353,4.8289,9.6364,5.5851,4.1527,2.5938,5.1599,8.2026,5.0428,4.6561,0.8318,8.6813,6.3847,1.8335,4.7876,1.1585,4.0072,3.8537,3.1213,8.2747,7.7136,3.9255,6.3121,3.4640,8.6623,2.5271,5.1162,7.9430,2.0298,8.6856,"nope"
